------------ Init ------------
Log file: outputs/phi/Ball/second_phase/log.txt
Args:  Namespace(activate_type=2, action_type='Ball', alpha=1.0, batch=32, beta=0.01, clip_num=68, ckpt='outputs/phi/Ribbon/first_phase/best.pkl', dataset='FS1000', decay_rate=0.01, dropout=0.3, epoch=200, exp_name='second_phase', flow_hidden_dim=256, gpus=[0], hidden_dim=256, in_dim=1024, loss_align=1, lr=0.01, lr_decay='cos', margin=1.0, momentum=0.9, multmoding=False, n_decoder=2, n_encoder=1, n_head=1, n_query=4, optim='sgd', score_type='Total_Score', seed=0, model_name='phi', test=False, test_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/test.txt', train_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/train.txt', video_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/swintx_avg_fps25_clip32', warmup=0, weight_decay=0.0001)
 Random seed: 0
Using device: cuda
-------- Loading data --------
Train data size: 200
 Test data size: 50
------- Loading model --------
PHI...
Load pretrained model from  outputs/phi/Ribbon/first_phase/best.pkl
---------- Training ----------
**** Best model saved, coef: 0.510, rl2: 12.436
Epoch: 68	Loss: 0.2234	Train Coef: 0.932	Test Loss: 0.0159	Test Coef: 0.789	L2: 0.016	RL2: 2.651
Epoch: 69	Loss: 0.2276	Train Coef: 0.916	Test Loss: 0.0160	Test Coef: 0.748	L2: 0.016	RL2: 2.669
Epoch: 70	Loss: 0.2279	Train Coef: 0.903	Test Loss: 0.0118	Test Coef: 0.804	L2: 0.012	RL2: 1.969
Epoch: 71	Loss: 0.2253	Train Coef: 0.939	Test Loss: 0.0172	Test Coef: 0.789	L2: 0.017	RL2: 2.879
Epoch: 72	Loss: 0.2259	Train Coef: 0.918	Test Loss: 0.0133	Test Coef: 0.811	L2: 0.013	RL2: 2.219
Epoch: 73	Loss: 0.2245	Train Coef: 0.947	Test Loss: 0.0185	Test Coef: 0.805	L2: 0.018	RL2: 3.086
Epoch: 74	Loss: 0.2245	Train Coef: 0.946	Test Loss: 0.0141	Test Coef: 0.791	L2: 0.014	RL2: 2.348
Epoch: 75	Loss: 0.2251	Train Coef: 0.960	Test Loss: 0.0175	Test Coef: 0.821	L2: 0.017	RL2: 2.918
Epoch: 76	Loss: 0.2271	Train Coef: 0.938	Test Loss: 0.0174	Test Coef: 0.821	L2: 0.017	RL2: 2.905
Epoch: 77	Loss: 0.2256	Train Coef: 0.922	Test Loss: 0.0175	Test Coef: 0.819	L2: 0.018	RL2: 2.929
Epoch: 78	Loss: 0.2275	Train Coef: 0.895	Test Loss: 0.0126	Test Coef: 0.824	L2: 0.013	RL2: 2.108
Epoch: 79	Loss: 0.2253	Train Coef: 0.941	Test Loss: 0.0215	Test Coef: 0.805	L2: 0.022	RL2: 3.590
Epoch: 80	Loss: 0.2253	Train Coef: 0.929	Test Loss: 0.0139	Test Coef: 0.812	L2: 0.014	RL2: 2.327
Epoch: 81	Loss: 0.2228	Train Coef: 0.924	Test Loss: 0.0224	Test Coef: 0.799	L2: 0.022	RL2: 3.738
Epoch: 82	Loss: 0.2234	Train Coef: 0.927	Test Loss: 0.0154	Test Coef: 0.791	L2: 0.015	RL2: 2.574
Epoch: 83	Loss: 0.2237	Train Coef: 0.919	Test Loss: 0.0201	Test Coef: 0.825	L2: 0.020	RL2: 3.348
Epoch: 84	Loss: 0.2209	Train Coef: 0.953	Test Loss: 0.0139	Test Coef: 0.816	L2: 0.014	RL2: 2.320
